phrase;category;intent;geo;ws_msk_base;wsk_msk_final;ws_ru_base;wsk_ru_exact_wk;pos_msk;url;source
шкаф для постельного белья и полотенец;Шкафы;общий;;42;23;;;17;/catalog/korpusnaya-mebel/shkafyi/f/naznachenie--dlya_belya;arsenkin_sem+keysso
комод 6 ящиков денвер;Комоды и тумбы;общий;;144;23;;;43;/catalog/korpusnaya-mebel/tumbyi/komod-denver-p6-639-1-02;arsenkin_sem+keysso
диван с поворотным механизмом трансформации;Диваны;общий;;26;23;;;7;/catalog/myagkaya-mebel/divanyi-uglovyie/f/transformation--povorotnyj;arsenkin_sem+keysso
комод дольче;Комоды и тумбы;общий;;265;23;;;3;/catalog/korpusnaya-mebel/tumbyi/komod-dolche-p3-597-1-04;arsenkin_sem+keysso
камелгрупп мебель официальный сайт цены;Мебель общ.;коммерческий;;23;23;;;37;/;arsenkin_sem+keysso
полка из массива;Мебель из массива;общий;;1542;23;;31;17;/catalog/korpusnaya-mebel/dekorativnyie-elementyi/f/type--polka;arsenkin_sem+keysso
угловой диван велюр купить;Диваны угловые;коммерческий;;313;23;;;28;/catalog/myagkaya-mebel/divanyi-uglovyie/f/obivka--velyur;arsenkin_sem+keysso
диван прямой с оттоманкой;Диваны;общий;;161;23;;;8;/catalog/myagkaya-mebel/divanyi/f/nalichie_ottomanki--est;arsenkin_sem+keysso
диван выдвижной вперед купить;Диваны;коммерческий;;246;23;;;23;/catalog/myagkaya-mebel/divanyi/f/transformation--vperjodvykatnoj;arsenkin_sem+keysso
мистер дорс диваны;Диваны;общий;;52;23;;;37;/catalog/myagkaya-mebel/divanyi/uglovoy-divan-dorsa-2ml-r6mr-l;arsenkin_sem+keysso
механизм складывания дивана книжка;Диваны;общий;;115;23;;;22;/mehanizmyi-transformatsii;arsenkin_sem+keysso
стул реклайнер;Кресла реклайнеры;общий;;100;23;;;34;/catalog/myagkaya-mebel/kresla/f/type--kreslo-reklayner;arsenkin_sem+keysso
